2024-11-26 17:45:33,495 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Configure stats pid to 75355
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Loading settings from /Users/navtegh/.config/wandb/settings
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Loading settings from /Users/navtegh/Documents/Watermarking-diffusion-models/wandb/settings
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_tree_ring_watermark.py', 'program_abspath': '/Users/navtegh/Documents/Watermarking-diffusion-models/run_tree_ring_watermark.py', 'program': '/Users/navtegh/Documents/Watermarking-diffusion-models/run_tree_ring_watermark.py'}
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:_log_setup():533] Logging user logs to /Users/navtegh/Documents/Watermarking-diffusion-models/wandb/run-20241126_174533-mn8jlzp9/logs/debug.log
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/navtegh/Documents/Watermarking-diffusion-models/wandb/run-20241126_174533-mn8jlzp9/logs/debug-internal.log
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:init():619] calling init triggers
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:init():669] starting backend
2024-11-26 17:45:33,496 INFO    MainThread:75355 [wandb_init.py:init():673] sending inform_init request
2024-11-26 17:45:33,498 INFO    MainThread:75355 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-26 17:45:33,499 INFO    MainThread:75355 [wandb_init.py:init():686] backend started and connected
2024-11-26 17:45:33,506 INFO    MainThread:75355 [wandb_init.py:init():781] updated telemetry
2024-11-26 17:45:33,548 INFO    MainThread:75355 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-26 17:45:33,805 INFO    MainThread:75355 [wandb_init.py:init():867] starting run threads in backend
2024-11-26 17:45:33,926 INFO    MainThread:75355 [wandb_run.py:_console_start():2456] atexit reg
2024-11-26 17:45:33,926 INFO    MainThread:75355 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-26 17:45:33,926 INFO    MainThread:75355 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-26 17:45:33,926 INFO    MainThread:75355 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-26 17:45:33,928 INFO    MainThread:75355 [wandb_init.py:init():911] run started, returning control to user process
2024-11-26 17:45:33,928 INFO    MainThread:75355 [wandb_run.py:_config_callback():1387] config_cb None None {'run_name': 'no_attack', 'dataset': 'Gustavosta/Stable-Diffusion-Prompts', 'start': 0, 'end': 1000, 'image_length': 512, 'model_id': 'stabilityai/stable-diffusion-2-1-base', 'with_tracking': True, 'num_images': 1, 'guidance_scale': 7.5, 'num_inference_steps': 50, 'test_num_inference_steps': 50, 'reference_model': 'ViT-g-14', 'reference_model_pretrain': 'laion2b_s12b_b42k', 'max_num_log_image': 100, 'gen_seed': 0, 'w_seed': 999999, 'w_channel': 3, 'w_pattern': 'ring', 'w_mask_shape': 'circle', 'w_radius': 5, 'w_measurement': 'l1_complex', 'w_injection': 'complex', 'w_pattern_const': 0, 'r_degree': None, 'jpeg_ratio': None, 'crop_scale': None, 'crop_ratio': None, 'gaussian_blur_r': None, 'gaussian_std': None, 'brightness_factor': None, 'rand_aug': 0}
